2026-05-30 20:53:58,358 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 20:53:58,358 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk')
2026-05-30 20:53:58,359 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_veiculo', 'INTEGER', 1, None, 1)
2026-05-30 20:53:58,359 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'placa', 'VARCHAR(10)', 1, None, 0)
2026-05-30 20:53:58,359 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'tipo', 'VARCHAR(40)', 1, None, 0)
2026-05-30 20:53:58,360 | INFO | sqlalchemy.engine.Engine | COMMIT
2026-05-30 21:00:00,172 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:00:00,173 | INFO | sqlalchemy.engine.Engine | SELECT name FROM sqlite_master WHERE type='table' AND name NOT LIKE 'sqlite~_%' ESCAPE '~' ORDER BY name
2026-05-30 21:00:00,173 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:00:00,175 | DEBUG | sqlalchemy.engine.Engine | Col ('name',)
2026-05-30 21:00:00,178 | DEBUG | sqlalchemy.engine.Engine | Row ('categoria',)
2026-05-30 21:00:00,178 | DEBUG | sqlalchemy.engine.Engine | Row ('cliente',)
2026-05-30 21:00:00,178 | DEBUG | sqlalchemy.engine.Engine | Row ('endereco',)
2026-05-30 21:00:00,178 | DEBUG | sqlalchemy.engine.Engine | Row ('entrega',)
2026-05-30 21:00:00,178 | DEBUG | sqlalchemy.engine.Engine | Row ('item_pedido',)
2026-05-30 21:00:00,178 | DEBUG | sqlalchemy.engine.Engine | Row ('motorista',)
2026-05-30 21:00:00,178 | DEBUG | sqlalchemy.engine.Engine | Row ('pedido',)
2026-05-30 21:00:00,179 | DEBUG | sqlalchemy.engine.Engine | Row ('produto',)
2026-05-30 21:00:00,179 | DEBUG | sqlalchemy.engine.Engine | Row ('veiculo',)
2026-05-30 21:00:00,180 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:09:43,532 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:09:43,533 | INFO | sqlalchemy.engine.Engine | SELECT name FROM sqlite_master WHERE type='table' AND name NOT LIKE 'sqlite~_%' ESCAPE '~' ORDER BY name
2026-05-30 21:09:43,533 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:09:43,534 | DEBUG | sqlalchemy.engine.Engine | Col ('name',)
2026-05-30 21:09:43,536 | DEBUG | sqlalchemy.engine.Engine | Row ('categoria',)
2026-05-30 21:09:43,537 | DEBUG | sqlalchemy.engine.Engine | Row ('cliente',)
2026-05-30 21:09:43,537 | DEBUG | sqlalchemy.engine.Engine | Row ('endereco',)
2026-05-30 21:09:43,537 | DEBUG | sqlalchemy.engine.Engine | Row ('entrega',)
2026-05-30 21:09:43,537 | DEBUG | sqlalchemy.engine.Engine | Row ('item_pedido',)
2026-05-30 21:09:43,537 | DEBUG | sqlalchemy.engine.Engine | Row ('motorista',)
2026-05-30 21:09:43,538 | DEBUG | sqlalchemy.engine.Engine | Row ('pedido',)
2026-05-30 21:09:43,538 | DEBUG | sqlalchemy.engine.Engine | Row ('produto',)
2026-05-30 21:09:43,538 | DEBUG | sqlalchemy.engine.Engine | Row ('veiculo',)
2026-05-30 21:09:43,538 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:31:45,521 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,521 | INFO | sqlalchemy.engine.Engine | SELECT name FROM sqlite_master WHERE type='table' AND name NOT LIKE 'sqlite~_%' ESCAPE '~' ORDER BY name
2026-05-30 21:31:45,521 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,523 | DEBUG | sqlalchemy.engine.Engine | Col ('name',)
2026-05-30 21:31:45,526 | DEBUG | sqlalchemy.engine.Engine | Row ('categoria',)
2026-05-30 21:31:45,526 | DEBUG | sqlalchemy.engine.Engine | Row ('cliente',)
2026-05-30 21:31:45,526 | DEBUG | sqlalchemy.engine.Engine | Row ('endereco',)
2026-05-30 21:31:45,526 | DEBUG | sqlalchemy.engine.Engine | Row ('entrega',)
2026-05-30 21:31:45,527 | DEBUG | sqlalchemy.engine.Engine | Row ('item_pedido',)
2026-05-30 21:31:45,527 | DEBUG | sqlalchemy.engine.Engine | Row ('motorista',)
2026-05-30 21:31:45,527 | DEBUG | sqlalchemy.engine.Engine | Row ('pedido',)
2026-05-30 21:31:45,527 | DEBUG | sqlalchemy.engine.Engine | Row ('produto',)
2026-05-30 21:31:45,527 | DEBUG | sqlalchemy.engine.Engine | Row ('veiculo',)
2026-05-30 21:31:45,527 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:31:45,528 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,528 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_xinfo("categoria")
2026-05-30 21:31:45,528 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,529 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk', 'hidden')
2026-05-30 21:31:45,529 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_categoria', 'INTEGER', 1, None, 1, 0)
2026-05-30 21:31:45,529 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'descricao', 'VARCHAR(80)', 1, None, 0, 0)
2026-05-30 21:31:45,530 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:31:45,531 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,531 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_xinfo("cliente")
2026-05-30 21:31:45,531 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,532 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk', 'hidden')
2026-05-30 21:31:45,532 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_cliente', 'INTEGER', 1, None, 1, 0)
2026-05-30 21:31:45,532 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'nome', 'VARCHAR(120)', 1, None, 0, 0)
2026-05-30 21:31:45,532 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'cpf', 'VARCHAR(14)', 1, None, 0, 0)
2026-05-30 21:31:45,532 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:31:45,533 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,534 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_xinfo("endereco")
2026-05-30 21:31:45,534 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,535 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk', 'hidden')
2026-05-30 21:31:45,535 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_endereco', 'INTEGER', 1, None, 1, 0)
2026-05-30 21:31:45,535 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'id_cliente', 'INTEGER', 1, None, 0, 0)
2026-05-30 21:31:45,535 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'logradouro', 'VARCHAR(120)', 1, None, 0, 0)
2026-05-30 21:31:45,535 | DEBUG | sqlalchemy.engine.Engine | Row (3, 'numero', 'VARCHAR(10)', 1, None, 0, 0)
2026-05-30 21:31:45,535 | DEBUG | sqlalchemy.engine.Engine | Row (4, 'cidade', 'VARCHAR(80)', 1, None, 0, 0)
2026-05-30 21:31:45,535 | DEBUG | sqlalchemy.engine.Engine | Row (5, 'estado', 'VARCHAR(2)', 1, None, 0, 0)
2026-05-30 21:31:45,536 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:31:45,538 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,539 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_xinfo("entrega")
2026-05-30 21:31:45,539 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,542 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk', 'hidden')
2026-05-30 21:31:45,542 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_entrega', 'INTEGER', 1, None, 1, 0)
2026-05-30 21:31:45,543 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'id_pedido', 'INTEGER', 1, None, 0, 0)
2026-05-30 21:31:45,543 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'id_motorista', 'INTEGER', 1, None, 0, 0)
2026-05-30 21:31:45,543 | DEBUG | sqlalchemy.engine.Engine | Row (3, 'id_veiculo', 'INTEGER', 1, None, 0, 0)
2026-05-30 21:31:45,543 | DEBUG | sqlalchemy.engine.Engine | Row (4, 'data_entrega', 'DATETIME', 1, None, 0, 0)
2026-05-30 21:31:45,543 | INFO | sqlalchemy.engine.Engine | ROLLBACK
2026-05-30 21:31:45,545 | INFO | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-05-30 21:31:45,545 | INFO | sqlalchemy.engine.Engine | PRAGMA main.table_xinfo("item_pedido")
2026-05-30 21:31:45,545 | INFO | sqlalchemy.engine.Engine | [raw sql] ()
2026-05-30 21:31:45,546 | DEBUG | sqlalchemy.engine.Engine | Col ('cid', 'name', 'type', 'notnull', 'dflt_value', 'pk', 'hidden')
2026-05-30 21:31:45,546 | DEBUG | sqlalchemy.engine.Engine | Row (0, 'id_item_pedido', 'INTEGER', 1, None, 1, 0)
2026-05-30 21:31:45,546 | DEBUG | sqlalchemy.engine.Engine | Row (1, 'id_pedido', 'INTEGER', 1, None, 0, 0)
2026-05-30 21:31:45,546 | DEBUG | sqlalchemy.engine.Engine | Row (2, 'id_produto', 'INTEGER', 1, None, 0, 0)
2026-05-30 21:31:45,547 | DEBUG | sqlalchemy.engine.Engine | Row (3, 'quantidade', 'INTEGER', 1, None, 0, 0)
2026-05-30 21:31:45,547 | INFO | sqlalchemy.engine.Engine | ROLLBACK
